INTID,COUNTY,CITY1,ROAD1,ROAD2,ROAD3,ROAD4,LATEST_DATE,LATITUDE,LONGITUDE
3,Erie,Buffalo,Delaware Ave,Hinman Ave,Sanders Rd,,6/21/2011,42.956886766912,-78.8694266974926
4,Erie,Buffalo,N Park Ave,Hertel Ave,,,6/25/2012,42.947707985258,-78.8558580726385
5,Erie,Buffalo,Hertel Ave,Virgil Ave,Fairchild Pl,,6/21/2012,42.9477639396298,-78.8644230365753
6,Erie,Buffalo,Delaware Ave,Great Arrow Ave,,,6/23/2011,42.9420003721507,-78.8678301125765
7,Erie,Buffalo,Delaware Ave,Linden Ave,,,6/22/2011,42.9446367975633,-78.8681506365538
13,Erie,Buffalo,Starin Ave,Hertel Ave,,,6/26/2012,42.9475877322693,-78.8440295308828
16,Erie,Buffalo,Main St,LaSalle Station Park 'n Ride,,,9/1/2011,42.9470713779907,-78.8304937630892
18,Erie,Buffalo,Main St,Minnesota Ave,,,6/15/2015,42.94810948129,-78.8293290138245
19,Erie,Buffalo,Main St,Highgate Ave,,,10/16/2007,42.9495760484533,-78.8276714086533
20,Erie,Buffalo,Main St,Winspear Ave,,,9/7/2011,42.9514494537351,-78.8255779445171
21,Erie,Buffalo,Main St,Merrimac St,Sutton Ln,,9/14/2011,42.9518366923053,-78.8251595199108
22,Erie,Buffalo,Main St,Heath St,,,9/13/2011,42.9524398765554,-78.824475556612
23,Erie,Buffalo,Main St,Englewood Ave,,,9/12/2011,42.9530818269364,-78.8237681239843
33,Erie,Tonawanda,Delaware Ave,Delaware Rd,Lincoln Blvd,,8/13/2009,42.9628216698264,-78.8700268417597
35,Erie,Amherst,Sweet Home Rd,Skinnersville Rd,,,5/28/2013,43.0123504168296,-78.79898250103
36,Erie,Amherst,Millersport Hwy.,Hartford Rd.,,,6/24/2008,42.9806543398934,-78.7978398799896
38,Erie,Amherst,Main St,Berryman Dr,,,10/24/2012,42.9639517588528,-78.7921079993248
39,Erie,Cheektowaga,Beach Rd,Maryvale Dr,,,11/19/2009,42.9327845132593,-78.7622489780188
